Method,ARI,NMI,Homogeneity,Completeness,V-Measure,FMI,Pred_Clusters,Time_s,Dataset
K-Means,0.317,0.5896,0.6977,0.5106,0.5896,0.5527,16,2.497,NSL-KDD
Hierarchical,0.2586,0.5614,0.6953,0.4707,0.5614,0.4987,16,0.023,NSL-KDD
Rule-Based,0.1121,0.4997,0.9209,0.3429,0.4997,0.3227,104,0.047,NSL-KDD
IP-Subnet,0.1121,0.4897,0.89,0.3378,0.4897,0.3228,97,0.042,NSL-KDD
Cosine-Similarity,0.0,0.0,0.0,1.0,0.0,0.6782,1,0.055,NSL-KDD
Temporal,0.0,0.0,0.0,1.0,0.0,0.6782,1,0.093,NSL-KDD
MITRE-CORE (Union-Find),0.0,0.0,0.0,1.0,0.0,0.6782,1,0.428,NSL-KDD
DBSCAN,ERROR,-,-,-,-,-,-,-,NSL-KDD
K-Means,0.1884,0.313,0.2779,0.3584,0.313,0.3266,6,0.085,TON_IoT
Hierarchical,0.1673,0.3145,0.2744,0.3683,0.3145,0.3181,6,0.021,TON_IoT
Rule-Based,0.0016,0.5245,1.0,0.3555,0.5245,0.0302,372,0.08,TON_IoT
IP-Subnet,0.008,0.53,1.0,0.3605,0.53,0.0676,354,0.038,TON_IoT
Cosine-Similarity,0.0,0.0,0.0,1.0,0.0,0.3485,1,0.054,TON_IoT
Temporal,-0.0001,0.0051,0.0026,0.2965,0.0051,0.3475,2,0.016,TON_IoT
MITRE-CORE (Union-Find),0.0,0.0,0.0,1.0,0.0,0.3485,1,0.315,TON_IoT
DBSCAN,0.0,0.0,0.0,1.0,0.0,0.3485,1,0.028,TON_IoT
