dataset,method,runtime_seconds,n_true_classes,ari,nmi,silhouette,coverage,binary_ari
UNSW-NB15,K-Means,2.7527859210968018,8,-0.0019179951071666497,0.013044124098963503,0.0,1.0,
UNSW-NB15,DBSCAN,0.1631319522857666,8,0.4162254058366513,0.4629844282638955,1.0,0.7066,
UNSW-NB15,Spectral,9.168320894241333,8,0.23386218701677977,0.29713939652358634,0.0,1.0,
UNSW-NB15,HDBSCAN,0.2087390422821045,8,0.35637184194638155,0.4055466880952053,0.9138566417556389,0.837,
UNSW-NB15,K-Means-emb,0.31043052673339844,8,0.24461772149535707,0.37783207575699745,0.0,1.0,
UNSW-NB15,Spectral-emb,4.5525171756744385,8,0.07397620584146382,0.220100825026313,0.0,1.0,
UNSW-NB15,MITRE-CORE,7.6461803913116455,8,0.39586190644899644,0.5095475601513241,0.0,1.0,
NSL-KDD,K-Means,0.05105733871459961,10,0.020548463564067487,0.0852881080432452,0.0,1.0,
NSL-KDD,DBSCAN,0.2732973098754883,10,0.7486726140905076,0.5887302294552617,1.0,0.577,
NSL-KDD,Spectral,22.555521488189697,10,0.25319389109710355,0.3362472879804912,0.0,1.0,
NSL-KDD,HDBSCAN,0.2903571128845215,10,0.5050249721030563,0.5365561610618219,0.7660267140738138,0.8181,
NSL-KDD,K-Means-emb,0.3063225746154785,10,0.28296390440229013,0.5679255428856514,0.0,1.0,
NSL-KDD,Spectral-emb,15.62341570854187,10,-0.05708243325689929,0.08265294380723386,0.0,1.0,
NSL-KDD,MITRE-CORE,7.631387948989868,10,0.519280164188052,0.6323800980322449,0.0,1.0,
BETH,K-Means,0.013405084609985352,2,0.10613226279347573,0.04771308316541213,0.0,1.0,0.0
BETH,DBSCAN,0.042962074279785156,2,-0.00025084341036186455,0.001821111622112837,0.7381668344106461,0.9086,0.0
BETH,Spectral,4.342107534408569,2,0.00042103583428007547,8.079687607618186e-05,0.0,1.0,0.0
BETH,HDBSCAN,0.1762995719909668,2,-0.00020481643900885292,0.0018805983493094187,0.8554040177751904,0.9296,0.0
BETH,K-Means-emb,0.056439876556396484,2,0.10613226279347573,0.04771308316541213,0.0,1.0,0.0
BETH,Spectral-emb,0.21161460876464844,2,0.0021640952376389107,0.00015539883097147395,0.0,1.0,0.0
BETH,MITRE-CORE,28.10360836982727,2,0.0021640952376389107,0.00015539883097147395,0.0,1.0,0.0
OpTC,K-Means,0.016842126846313477,2,0.07837207302446021,0.1111956056674111,0.0,1.0,0.0
OpTC,DBSCAN,0.1318678855895996,2,0.0024279418804692768,0.09975248131316053,1.0,0.2381,0.6407868978498777
OpTC,Spectral,128.0716736316681,2,0.01502103415205999,0.0010651950413102652,0.0,1.0,0.0
OpTC,HDBSCAN,0.30752110481262207,2,0.09326002972608374,0.05234506358889813,0.5516976466695792,0.9006,0.0
OpTC,K-Means-emb,0.05640864372253418,2,0.07843781624232374,0.11123522131015677,0.0,1.0,0.0
OpTC,Spectral-emb,0.3170459270477295,2,-0.05246887353148082,0.02533232593626717,0.0,1.0,0.0
OpTC,MITRE-CORE,79.92232275009155,2,0.06259593998167391,0.21912966728496125,0.0,1.0,1.0
